town,age,job,married,education,arrears,housing,target
Brighton,40,blue-collar,married,primary,no,no,no
Liverpool,39,management,married,tertiary,no,yes,yes
London,30,management,single,tertiary,no,yes,no
Southampton,27,technician,single,secondary,no,no,no
Birmingham,41,admin.,divorced,secondary,no,yes,no
Bradford,25,student,single,tertiary,no,yes,no
Leeds,32,management,married,tertiary,no,yes,no
Bournemouth,69,retired,divorced,secondary,no,no,no
Edinburgh,33,technician,married,secondary,no,yes,no
Hastings,37,technician,married,secondary,no,yes,no
Worthing,44,management,married,secondary,no,yes,no
Manchester,41,services,married,secondary,no,yes,no
Liverpool,45,management,married,tertiary,no,yes,no
Darlington,34,management,married,tertiary,no,no,yes
Sheffield,35,admin.,single,secondary,no,yes,no
London,38,technician,married,secondary,no,yes,no
Hemel Hempstead,30,management,married,tertiary,no,yes,yes
Liverpool,29,services,married,primary,no,yes,no
Newcastle upon Tyne,29,blue-collar,single,secondary,no,yes,no
Doncaster,46,self-employed,single,secondary,no,no,no
Ipswich,32,admin.,married,secondary,no,yes,yes
Cardiff,52,admin.,married,secondary,no,yes,no
Birmingham,52,services,married,primary,no,yes,no
Swansea,38,admin.,divorced,secondary,no,yes,no
Gateshead,34,technician,single,secondary,no,no,no
Kingston upon Hull,34,admin.,divorced,secondary,no,yes,no
Bradford,41,self-employed,divorced,tertiary,no,no,no
Birmingham,52,services,married,primary,no,yes,yes
Darlington,50,technician,married,secondary,no,yes,no
Salford,34,unemployed,single,secondary,no,no,no
Sale,51,housemaid,married,primary,no,no,no
Lincoln,47,unemployed,single,tertiary,no,no,no
Worthing,37,management,single,tertiary,no,yes,no
Slough,36,blue-collar,single,secondary,no,yes,no
Telford,24,student,single,secondary,no,no,yes
Raleigh,38,technician,married,secondary,no,yes,yes
Oldham,32,admin.,married,secondary,no,no,no
Swansea,41,blue-collar,single,unknown,no,yes,no
Bristol,62,technician,married,secondary,no,no,yes
Bristol,48,blue-collar,married,secondary,no,yes,no
Birmingham,53,blue-collar,divorced,secondary,no,yes,no
London,58,blue-collar,married,secondary,no,no,no
Coventry,32,technician,single,secondary,no,no,no
Birmingham,57,management,married,tertiary,no,no,no
Wolverhampton,39,technician,married,secondary,no,no,yes
London,31,blue-collar,married,secondary,no,no,no
London,26,management,single,tertiary,no,no,yes
Leeds,45,blue-collar,married,secondary,no,yes,no
London,30,blue-collar,single,secondary,no,yes,no
Edinburgh,43,technician,married,secondary,no,no,no
Blackburn,41,blue-collar,married,secondary,no,yes,no
Northampton,39,admin.,married,secondary,no,yes,no
Milton Keynes,36,technician,married,secondary,no,yes,no
Blackburn,28,blue-collar,married,secondary,no,yes,no
Bristol,57,management,married,secondary,no,no,no
Kingston upon Hull,58,housemaid,married,primary,no,no,no
Birmingham,25,management,married,primary,no,yes,yes
Newport,28,management,single,secondary,no,no,no
Manchester,40,admin.,married,primary,no,yes,yes
Sheffield,33,management,single,tertiary,no,yes,no
Nuneaton,33,management,single,secondary,no,yes,no
Nuneaton,27,student,single,unknown,no,no,no
London,50,self-employed,married,tertiary,no,yes,no
Peterborough,40,management,married,secondary,no,no,yes
London,30,admin.,married,secondary,no,yes,no
Liverpool,44,management,married,tertiary,no,no,no
Oxford,31,management,single,tertiary,no,yes,no
Edinburgh,26,blue-collar,single,primary,yes,no,no
Cambridge,44,unemployed,married,tertiary,no,yes,no
Peterborough,53,management,divorced,tertiary,no,yes,no
Portsmouth,30,technician,single,secondary,no,no,no
Stevenage,24,student,single,tertiary,no,no,yes
Hemel Hempstead,40,admin.,single,secondary,no,yes,no
Darlington,48,self-employed,married,tertiary,no,yes,no
Birmingham,52,management,married,tertiary,no,no,no
Rotherham,28,self-employed,single,secondary,no,yes,no
Watford,42,management,married,tertiary,no,no,no
Stoke-on-Trent,36,student,single,secondary,no,no,no
Nottingham,53,services,divorced,secondary,no,no,no
St Helens,48,blue-collar,married,primary,no,no,no
Derby,45,technician,married,secondary,no,yes,no
Sale,48,blue-collar,married,secondary,no,no,no
Maidstone,39,blue-collar,married,secondary,no,yes,no
Birmingham,41,technician,married,secondary,no,no,no
Birmingham,50,blue-collar,married,primary,no,yes,no
Basingstoke,49,entrepreneur,single,secondary,no,no,no
Darlington,28,technician,single,tertiary,no,yes,no
Southampton,44,admin.,married,secondary,no,yes,no
Poole,36,self-employed,married,primary,no,no,no
Raleigh,22,management,single,tertiary,no,no,yes
Derby,27,management,single,tertiary,no,yes,no
Hastings,33,management,married,tertiary,no,yes,no
Sheffield,42,technician,married,secondary,no,no,no
Rotherham,83,retired,divorced,primary,no,no,no
Stoke-on-Trent,34,technician,single,secondary,no,yes,no
Manchester,25,blue-collar,single,secondary,no,yes,no
Reading,27,blue-collar,single,primary,no,yes,no
Wolverhampton,66,housemaid,divorced,primary,no,no,yes
Stockport,49,services,married,secondary,no,yes,no
Preston,36,blue-collar,married,secondary,no,yes,no
Ipswich,47,blue-collar,married,secondary,yes,yes,no
Birkenhead,31,management,single,tertiary,no,no,yes
Doncaster,54,services,married,secondary,no,no,no
Preston,25,services,married,secondary,no,yes,no
Southport,25,student,single,secondary,no,no,no
Rotherham,49,services,married,secondary,no,yes,no
Gloucester,37,unemployed,married,secondary,no,no,no
Belfast,37,blue-collar,married,secondary,no,yes,no
London,55,unemployed,married,secondary,no,no,no
London,51,management,divorced,tertiary,no,yes,no
Solihull,58,retired,married,secondary,no,yes,no
Luton,38,housemaid,single,primary,no,yes,yes
Worthing,57,management,married,primary,no,yes,no
London,52,services,married,primary,no,yes,no
Bolton,33,management,single,tertiary,no,no,yes
Maidstone,28,admin.,married,secondary,no,yes,no
Sutton Coldfield,40,blue-collar,married,primary,no,yes,no
Liverpool,33,services,divorced,unknown,no,yes,no
London,29,self-employed,single,secondary,no,no,no
Ipswich,24,blue-collar,single,secondary,no,yes,no
Birmingham,40,blue-collar,married,primary,no,yes,no
Manchester,33,management,married,tertiary,no,yes,no
Derby,37,management,single,tertiary,no,yes,no
Rotherham,30,admin.,divorced,secondary,no,yes,no
Woking,34,management,single,tertiary,no,no,no
Colchester,31,technician,married,secondary,no,yes,no
Birmingham,41,blue-collar,married,secondary,no,yes,no
Glasgow,47,blue-collar,divorced,secondary,no,yes,no
Gateshead,38,technician,married,secondary,no,yes,no
Doncaster,56,management,married,secondary,no,yes,no
Bristol,53,unknown,married,unknown,no,no,no
London,31,blue-collar,married,secondary,no,yes,no
Wakefield,44,blue-collar,married,secondary,no,yes,no
Watford,59,admin.,married,primary,no,yes,no
Darlington,34,technician,single,secondary,no,yes,no
London,60,retired,married,tertiary,no,no,no
Birkenhead,45,technician,married,secondary,no,no,no
Basildon,30,management,single,tertiary,no,yes,no
Woking,34,management,married,tertiary,no,yes,yes
Wolverhampton,29,admin.,married,tertiary,no,yes,no
Huddersfield,30,blue-collar,married,secondary,no,yes,no
Luton,46,services,divorced,secondary,no,yes,no
Cambridge,41,unemployed,married,primary,no,yes,no
High Wycombe,30,unemployed,married,secondary,no,no,no
Derby,41,admin.,divorced,secondary,no,no,no
Rochdale,23,blue-collar,single,secondary,no,yes,no
Birmingham,37,blue-collar,married,secondary,no,yes,no
Peterborough,37,management,single,tertiary,no,no,no
Birmingham,44,services,divorced,secondary,no,yes,no
Norwich,41,management,married,tertiary,no,yes,no
Rochdale,23,blue-collar,single,primary,yes,yes,no
Nottingham,59,retired,divorced,secondary,no,no,no
Hartlepool,38,housemaid,married,secondary,no,no,no
Sheffield,30,technician,single,tertiary,no,no,no
Chesterfield,53,admin.,married,secondary,no,yes,no
Sheffield,57,retired,married,primary,no,yes,no
Maidstone,35,admin.,married,secondary,no,yes,no
Sale,44,entrepreneur,married,primary,no,no,no
London,26,student,single,secondary,no,yes,no
Preston,44,unemployed,married,secondary,no,no,no
London,36,services,married,tertiary,no,yes,no
County Down,25,student,single,tertiary,no,no,no
Nuneaton,32,blue-collar,single,tertiary,no,yes,no
Halifax,43,blue-collar,married,primary,no,yes,no
Coventry,42,technician,married,secondary,no,no,no
Derby,39,admin.,married,secondary,no,yes,no
High Wycombe,58,entrepreneur,married,tertiary,no,yes,no
Northampton,42,self-employed,married,secondary,no,no,no
Liverpool,59,retired,married,secondary,no,no,no
Milton Keynes,38,technician,married,tertiary,no,no,no
Blackburn,37,blue-collar,single,secondary,no,no,no
Birmingham,23,blue-collar,single,secondary,no,yes,no
Bristol,45,unemployed,married,tertiary,no,no,no
Exeter,45,housemaid,married,primary,no,no,no
Oxford,55,admin.,married,secondary,no,yes,no
Wolverhampton,28,management,single,tertiary,no,yes,no
Bradford,28,technician,married,secondary,no,yes,no
Worthing,48,blue-collar,married,secondary,no,yes,no
Stevenage,48,technician,divorced,secondary,no,no,no
Cambridge,35,management,married,tertiary,no,yes,no
Bristol,37,blue-collar,married,primary,no,yes,no
Liverpool,35,unknown,divorced,primary,no,no,no
Birmingham,29,blue-collar,married,secondary,no,yes,no
Worcester,33,entrepreneur,married,tertiary,no,yes,no
Bradford,45,housemaid,married,primary,no,no,no
Leicester,46,blue-collar,married,primary,no,yes,no
Kingston upon Hull,39,admin.,married,secondary,no,yes,no
Salford,31,services,single,unknown,yes,no,no
Solihull,57,housemaid,married,primary,no,no,yes
Swansea,33,management,single,tertiary,no,no,no
Plymouth,31,admin.,married,secondary,no,no,no
Chester,37,admin.,married,secondary,no,yes,no
Oxford,51,unemployed,married,secondary,no,no,no
Stockport,31,technician,single,secondary,no,yes,no
Kingston upon Hull,32,admin.,married,secondary,no,yes,no
Chester,39,services,married,secondary,no,no,no
London,23,student,single,tertiary,no,no,no
Bristol,49,self-employed,married,tertiary,no,no,no
Telford,43,technician,married,tertiary,no,no,yes
Manchester,47,retired,married,primary,yes,no,no
Exeter,33,admin.,married,secondary,no,no,yes
Colchester,35,services,married,secondary,no,yes,no
Southport,22,student,single,secondary,no,no,no
Colchester,47,blue-collar,married,primary,no,no,no
Milton Keynes,31,admin.,married,secondary,no,yes,no
Liverpool,41,services,married,secondary,no,yes,no
London,29,admin.,married,secondary,no,yes,no
County Down,54,self-employed,divorced,tertiary,no,no,no
Glasgow,37,services,married,secondary,no,no,no
Southport,31,technician,single,secondary,no,yes,no
Eastbourne,42,self-employed,married,tertiary,no,yes,no
Luton,44,admin.,married,secondary,no,yes,no
Rotherham,51,blue-collar,married,primary,no,no,no
Sunderland,39,housemaid,married,secondary,no,no,no
Bradford,57,retired,married,secondary,no,no,no
London,40,unemployed,married,secondary,no,yes,no
Basingstoke,26,blue-collar,single,secondary,no,yes,no
Kingston upon Hull,36,technician,married,secondary,no,yes,no
Swindon,47,services,married,secondary,no,yes,no
Swansea,36,blue-collar,married,secondary,no,yes,no
Hemel Hempstead,47,blue-collar,married,primary,no,yes,no
Watford,39,blue-collar,divorced,primary,no,yes,no
Huddersfield,34,blue-collar,married,secondary,no,no,no
Wakefield,33,management,single,tertiary,no,no,no
Newport,56,technician,married,primary,no,yes,no
Glasgow,35,management,single,tertiary,no,no,no
Birmingham,62,retired,married,tertiary,no,yes,yes
Newport,54,admin.,married,secondary,no,no,no
Exeter,41,blue-collar,divorced,secondary,no,yes,no
Norwich,38,blue-collar,single,secondary,no,yes,no
Kingston upon Hull,48,management,married,tertiary,no,yes,no
Swansea,34,blue-collar,single,primary,no,no,no
London,38,entrepreneur,single,secondary,no,no,yes
Hastings,28,services,single,secondary,no,yes,no
Watford,46,blue-collar,married,secondary,no,no,no
Kingston upon Hull,31,admin.,single,secondary,no,yes,no
Glasgow,41,management,married,tertiary,no,no,no
Oxford,46,admin.,divorced,secondary,no,yes,no
Hastings,36,management,married,unknown,no,yes,no
County Down,54,admin.,married,secondary,no,yes,no
Swansea,47,management,married,tertiary,no,no,yes
Reading,31,blue-collar,single,secondary,no,yes,no
London,34,technician,single,tertiary,no,no,no
Raleigh,42,entrepreneur,married,secondary,no,yes,no
Sheffield,31,management,married,tertiary,no,no,no
Grimsby,60,retired,married,secondary,no,yes,no
Birmingham,46,management,married,secondary,no,yes,no
Birkenhead,50,management,married,secondary,no,yes,no
High Wycombe,30,management,single,tertiary,no,no,no
Bristol,37,admin.,single,secondary,no,yes,no
Sale,30,blue-collar,married,secondary,no,no,no
Rochdale,42,entrepreneur,divorced,secondary,no,yes,yes
Bath,50,management,married,tertiary,no,no,no
Bristol,46,blue-collar,divorced,primary,no,no,no
Birmingham,49,management,married,tertiary,no,no,no
Newcastle upon Tyne,37,blue-collar,married,primary,no,yes,no
Southport,35,admin.,divorced,tertiary,no,yes,no
Brighton,53,unemployed,divorced,secondary,no,no,yes
Bradford,52,technician,divorced,secondary,no,no,no
Liverpool,59,technician,single,secondary,no,yes,no
Basingstoke,62,blue-collar,married,primary,no,no,no
Sheffield,48,blue-collar,married,unknown,no,yes,no
Cardiff,45,blue-collar,married,primary,no,no,no
London,31,services,single,secondary,no,no,no
Liverpool,72,retired,married,primary,no,no,yes
Halifax,48,housemaid,divorced,primary,no,no,no
London,46,management,divorced,tertiary,no,no,yes
Sunderland,36,technician,married,secondary,no,no,no
Ipswich,39,management,married,tertiary,no,no,no
London,54,technician,married,secondary,no,no,no
Poole,51,admin.,married,tertiary,no,yes,no
Swindon,39,management,single,tertiary,yes,yes,no
Hemel Hempstead,35,blue-collar,married,primary,no,yes,no
Hastings,27,blue-collar,married,primary,no,yes,no
Glasgow,60,retired,divorced,secondary,no,yes,yes
Manchester,44,blue-collar,married,secondary,no,yes,no
London,25,blue-collar,single,tertiary,no,yes,no
Worthing,37,self-employed,single,tertiary,no,no,no
Manchester,55,blue-collar,married,secondary,no,yes,no
Worthing,35,services,divorced,secondary,no,no,no
Glasgow,39,blue-collar,married,secondary,no,yes,no
Raleigh,59,retired,married,primary,no,no,no
Slough,35,blue-collar,single,unknown,no,no,no
Blackburn,35,management,single,tertiary,no,yes,no
London,52,technician,married,secondary,no,yes,no
Stockport,45,services,married,secondary,no,yes,no
Rochdale,46,services,married,secondary,no,yes,no
County Down,30,technician,married,tertiary,no,yes,no
London,41,management,married,secondary,no,no,no
County Down,48,services,divorced,secondary,no,yes,no
Worthing,38,technician,married,tertiary,no,no,no
Basildon,48,blue-collar,married,secondary,no,yes,yes
Nuneaton,59,blue-collar,divorced,unknown,no,yes,no
Bristol,38,management,married,tertiary,no,no,no
Birmingham,57,retired,single,unknown,no,no,no
Warrington,33,technician,divorced,tertiary,no,no,no
Stockport,29,admin.,married,secondary,no,no,no
Maidstone,48,blue-collar,single,primary,no,yes,no
Swindon,80,retired,married,secondary,no,no,yes
Weston-super-Mare,33,management,single,tertiary,no,no,yes
Cambridge,37,blue-collar,married,primary,no,yes,no
London,45,entrepreneur,married,tertiary,no,yes,no
Cheltenham,41,blue-collar,married,primary,no,no,no
London,36,blue-collar,married,secondary,no,yes,no
London,40,blue-collar,married,primary,no,yes,no
Nuneaton,31,student,married,primary,no,yes,yes
Liverpool,28,technician,single,secondary,no,yes,no
Preston,34,admin.,married,secondary,no,yes,no
Stoke-on-Trent,59,entrepreneur,divorced,unknown,no,no,no
Wigan,25,management,single,tertiary,no,no,no
Poole,33,management,married,tertiary,no,yes,no
Aberdeen,41,technician,single,unknown,no,yes,no
Lincoln,34,blue-collar,married,secondary,no,yes,no
Glasgow,36,admin.,married,secondary,no,yes,no
Basingstoke,32,technician,married,secondary,no,yes,no
Manchester,37,technician,married,secondary,no,yes,no
Hastings,58,admin.,married,secondary,no,yes,no
Cardiff,35,management,single,tertiary,no,no,no
Coventry,55,management,married,tertiary,no,no,yes
Belfast,37,blue-collar,married,secondary,no,yes,no
Solihull,36,management,married,tertiary,no,yes,no
Birmingham,57,housemaid,married,primary,no,no,no
Aberdeen,25,management,single,tertiary,no,no,no
Liverpool,36,management,married,tertiary,no,yes,no
High Wycombe,35,admin.,married,secondary,no,yes,no
Northampton,43,management,married,primary,no,yes,no
Gloucester,58,unknown,married,unknown,no,no,no
County Down,46,blue-collar,married,secondary,no,yes,no
Bolton,33,blue-collar,married,secondary,no,yes,no
St Albans,33,blue-collar,married,secondary,no,yes,no
Chesterfield,42,management,married,tertiary,no,no,yes
Wigan,41,technician,single,tertiary,no,yes,no
Northampton,39,blue-collar,married,primary,no,yes,no
Sheffield,34,student,single,unknown,no,no,no
Basildon,35,management,married,tertiary,no,yes,no
Middlesbrough,41,unemployed,married,primary,no,yes,no
Birmingham,27,management,single,tertiary,no,yes,no
Chelmsford,43,management,married,tertiary,no,no,yes
London,58,technician,married,tertiary,no,no,no
Gateshead,29,management,married,tertiary,no,no,no
London,53,blue-collar,divorced,primary,no,no,no
Derby,63,entrepreneur,married,secondary,no,no,yes
Luton,44,services,married,secondary,no,no,no
Edinburgh,54,management,married,tertiary,no,no,yes
Gloucester,24,technician,single,unknown,no,yes,no
Bath,30,technician,married,secondary,no,no,no
Reading,46,management,divorced,tertiary,no,no,yes
Poole,53,retired,married,secondary,no,no,no
Wolverhampton,34,management,single,tertiary,no,yes,no
Sunderland,45,technician,married,primary,no,yes,no
Belfast,56,blue-collar,married,secondary,no,yes,no
Crawley,25,student,single,secondary,no,yes,no
Rotherham,57,admin.,married,secondary,no,yes,no
Raleigh,48,entrepreneur,single,tertiary,no,no,no
Maidstone,40,services,divorced,secondary,no,yes,no
Rochdale,44,blue-collar,single,secondary,no,yes,no
Maidstone,31,unemployed,single,unknown,no,no,no
Blackpool,39,entrepreneur,single,tertiary,no,no,no
Solihull,36,unemployed,married,secondary,no,yes,no
Rotherham,32,admin.,married,secondary,no,yes,yes
Halifax,36,technician,married,secondary,no,no,no
York,34,admin.,single,secondary,no,yes,no
Glasgow,36,blue-collar,single,unknown,no,no,no
Newcastle upon Tyne,59,retired,married,secondary,no,no,no
Sale,43,blue-collar,married,secondary,no,yes,no
Plymouth,28,student,single,secondary,no,no,no
Salford,31,technician,single,tertiary,no,no,no
Hastings,33,management,married,tertiary,no,no,no
Birmingham,43,management,single,tertiary,no,yes,no
Newport,50,blue-collar,married,primary,no,yes,yes
Manchester,56,services,married,secondary,no,yes,no
Derby,30,blue-collar,married,secondary,no,yes,no
Bath,40,admin.,married,secondary,no,yes,no
Birmingham,31,management,single,tertiary,no,no,yes
Glasgow,32,admin.,married,secondary,no,yes,no
Manchester,43,management,married,tertiary,no,yes,no
Middlesbrough,39,technician,married,secondary,no,no,no
Milton Keynes,33,blue-collar,married,secondary,no,yes,no
Norwich,42,admin.,divorced,secondary,yes,no,no
Halifax,32,blue-collar,single,secondary,no,yes,no
Hastings,58,self-employed,divorced,secondary,no,yes,no
Brighton,56,management,married,tertiary,no,no,no
Brighton,32,technician,single,secondary,no,yes,no
Edinburgh,50,admin.,single,secondary,no,yes,no
Huddersfield,39,management,divorced,tertiary,no,yes,no
Birmingham,40,technician,divorced,secondary,no,no,no
Sunderland,60,entrepreneur,married,secondary,no,yes,no
London,28,admin.,single,secondary,no,no,no
Grimsby,53,technician,married,unknown,no,yes,no
Nuneaton,38,management,married,tertiary,no,yes,no
Huddersfield,36,admin.,divorced,tertiary,no,no,yes
Manchester,55,blue-collar,married,primary,no,yes,no
Sheffield,36,management,married,tertiary,no,no,no
Middlesbrough,53,housemaid,married,primary,no,no,yes
Bath,27,blue-collar,single,secondary,no,yes,no
Rochdale,36,self-employed,married,tertiary,no,no,no
Wakefield,57,retired,married,primary,no,yes,no
Glasgow,37,entrepreneur,married,tertiary,no,no,no
Luton,36,services,married,unknown,no,no,no
Stockport,36,management,single,tertiary,no,yes,no
Bedford,21,student,single,secondary,no,no,no
Barnsley,31,technician,married,secondary,no,no,no
London,29,technician,married,tertiary,no,no,no
Kingston upon Hull,35,management,single,tertiary,no,no,yes
Blackpool,26,student,single,primary,no,yes,no
Wolverhampton,36,services,divorced,tertiary,no,yes,no
Worthing,31,admin.,single,secondary,no,yes,no
Slough,33,admin.,married,secondary,no,yes,no
St Helens,41,admin.,divorced,secondary,no,yes,no
Milton Keynes,50,housemaid,divorced,primary,no,yes,no
Bristol,30,management,single,tertiary,no,yes,yes
Peterborough,34,management,married,tertiary,no,no,no
Bournemouth,36,technician,divorced,secondary,no,yes,no
London,33,admin.,married,secondary,no,yes,no
Wakefield,31,housemaid,married,primary,no,yes,no
Sale,35,management,married,tertiary,no,no,no
Rotherham,41,unemployed,married,secondary,no,yes,yes
Liverpool,31,technician,single,tertiary,no,no,no
Birmingham,26,student,single,tertiary,no,no,no
Birmingham,32,services,single,secondary,no,no,yes
Wolverhampton,48,blue-collar,married,primary,no,yes,no
Cheltenham,50,blue-collar,married,primary,no,yes,no
Basingstoke,34,blue-collar,married,primary,no,yes,no
London,43,blue-collar,single,primary,no,no,yes
Hemel Hempstead,44,services,married,secondary,no,no,no
Darlington,36,services,married,secondary,no,yes,no
Huddersfield,39,unemployed,married,secondary,no,yes,no
Bristol,44,self-employed,married,tertiary,no,no,no
Leeds,28,technician,married,secondary,no,yes,no
London,34,technician,divorced,secondary,no,yes,no
Wigan,47,admin.,divorced,secondary,no,no,no
Doncaster,48,blue-collar,married,secondary,no,yes,no
High Wycombe,26,student,single,secondary,no,no,no
Wolverhampton,44,technician,married,secondary,no,no,no
Chester,41,management,married,tertiary,no,no,no
Bradford,35,technician,single,tertiary,no,no,no
London,41,entrepreneur,single,tertiary,no,yes,no
Hartlepool,19,student,single,unknown,no,no,no
Birmingham,43,admin.,married,secondary,no,yes,no
Belfast,30,management,single,tertiary,no,yes,no
Chesterfield,39,technician,married,secondary,no,yes,yes
Barnsley,44,admin.,married,primary,no,yes,no
Eastbourne,45,technician,married,secondary,no,no,no
Bristol,40,management,married,tertiary,no,no,no
Oldham,55,admin.,married,secondary,no,no,no
St Helens,46,self-employed,single,primary,no,no,no
Nottingham,53,management,married,tertiary,no,no,no
Bristol,43,technician,married,secondary,no,yes,no
Luton,26,services,single,secondary,no,yes,no
Bristol,34,admin.,married,secondary,no,yes,no
Raleigh,55,technician,single,tertiary,no,no,no
Hastings,45,blue-collar,single,unknown,no,no,no
Weston-super-Mare,31,services,divorced,secondary,no,yes,no
Norwich,43,management,single,tertiary,no,yes,no
Gillingham,42,entrepreneur,married,primary,yes,yes,no
Rotherham,29,blue-collar,married,secondary,no,yes,no
Rotherham,47,management,single,tertiary,no,yes,no
Liverpool,34,blue-collar,divorced,secondary,no,yes,no
Stockport,35,blue-collar,married,primary,no,yes,no
Blackpool,46,management,married,secondary,no,yes,no
Doncaster,58,blue-collar,married,secondary,no,no,no
Bristol,30,technician,married,tertiary,no,yes,no
Poole,58,entrepreneur,married,primary,no,yes,no
London,53,blue-collar,married,primary,no,yes,no
Eastbourne,45,technician,divorced,tertiary,no,yes,no
Milton Keynes,47,technician,married,secondary,no,no,no
Northampton,55,management,divorced,tertiary,no,no,no
Doncaster,26,blue-collar,single,secondary,no,no,no
Blackpool,36,unknown,married,secondary,no,no,no
Slough,42,blue-collar,married,primary,no,yes,no
Nuneaton,45,services,married,primary,no,yes,no
Nuneaton,36,self-employed,single,secondary,no,yes,no
Leeds,42,blue-collar,married,secondary,no,yes,no
Birmingham,31,management,single,tertiary,no,no,yes
Salford,28,admin.,married,secondary,no,yes,no
Edinburgh,47,services,divorced,secondary,no,yes,no
Peterborough,34,management,single,tertiary,no,yes,no
Leicester,37,admin.,married,primary,no,yes,no
Cambridge,33,services,married,tertiary,no,no,no
Newport,34,admin.,single,secondary,no,yes,no
Liverpool,57,unemployed,divorced,secondary,no,no,no
London,35,technician,single,tertiary,no,yes,no
Gloucester,48,management,married,tertiary,no,no,no
Bristol,38,technician,married,unknown,no,yes,no
Basildon,29,student,single,tertiary,no,no,yes
Cheltenham,33,entrepreneur,married,primary,no,yes,no
Glasgow,52,management,married,primary,no,yes,no
Kingston upon Hull,41,management,married,primary,no,yes,no
Bristol,32,admin.,married,secondary,no,yes,no
Bath,51,technician,married,unknown,no,yes,no
Southampton,50,services,married,secondary,no,no,no
Swindon,37,admin.,single,secondary,no,yes,yes
Telford,32,services,single,secondary,no,yes,no
Weston-super-Mare,52,blue-collar,divorced,primary,no,no,no
Gloucester,35,unemployed,married,secondary,no,yes,no
Lincoln,35,blue-collar,married,secondary,no,yes,no
Sheffield,37,blue-collar,married,secondary,no,yes,no
Hastings,37,self-employed,divorced,secondary,no,no,no
Belfast,46,blue-collar,divorced,primary,no,no,no
Blackburn,55,entrepreneur,married,secondary,no,yes,no
Birkenhead,33,admin.,married,secondary,no,no,no
Wakefield,29,management,single,tertiary,no,no,no
Halifax,43,services,divorced,unknown,no,no,no
Crawley,47,unemployed,single,primary,no,no,no
Wakefield,29,technician,single,secondary,no,no,no
Ipswich,24,blue-collar,single,secondary,no,no,no
Crawley,45,blue-collar,single,primary,no,no,no
Peterborough,47,housemaid,married,secondary,no,yes,yes
Maidstone,53,technician,divorced,secondary,no,no,no
Sale,51,self-employed,single,secondary,no,no,yes
Stoke-on-Trent,30,blue-collar,single,secondary,no,no,no
Birkenhead,39,housemaid,married,secondary,no,no,no
Doncaster,40,blue-collar,divorced,secondary,no,no,no
Crawley,44,blue-collar,married,primary,no,yes,no
Doncaster,26,student,single,secondary,no,yes,no
St Helens,35,admin.,single,secondary,no,yes,no
Solihull,46,admin.,single,unknown,no,no,no
Aberdeen,47,entrepreneur,married,tertiary,no,yes,no
Birmingham,60,retired,married,primary,no,no,no
Chester,40,blue-collar,married,secondary,no,yes,no
Edinburgh,24,admin.,single,secondary,no,yes,no
Reading,55,retired,divorced,primary,no,yes,no
Basildon,40,unemployed,single,secondary,no,yes,no
London,39,self-employed,married,tertiary,no,yes,yes
Blackburn,39,management,married,secondary,no,yes,no
Newcastle upon Tyne,30,management,single,tertiary,no,yes,no
Swindon,35,blue-collar,married,secondary,no,yes,no
Worthing,49,housemaid,divorced,primary,no,yes,no
Woking,41,technician,single,secondary,no,no,no
Norwich,34,blue-collar,married,primary,no,yes,no
Salford,49,admin.,married,secondary,no,yes,no
Newcastle upon Tyne,41,technician,married,secondary,no,yes,no
Glasgow,39,management,single,tertiary,no,yes,no
Wigan,35,admin.,married,secondary,no,yes,no
Woking,34,blue-collar,divorced,secondary,no,yes,no
Swansea,53,services,single,secondary,no,yes,no
Birmingham,32,blue-collar,married,primary,no,yes,no
Rochdale,37,technician,married,secondary,no,no,no
Glasgow,56,technician,married,secondary,no,no,no
Blackburn,36,self-employed,married,tertiary,no,no,no
Bristol,44,self-employed,married,secondary,no,no,no
Middlesbrough,27,blue-collar,single,secondary,no,yes,no
Chesterfield,30,services,single,secondary,no,yes,no
Sutton Coldfield,33,blue-collar,married,primary,no,yes,no
Norwich,44,self-employed,divorced,tertiary,no,yes,no
Halifax,28,technician,single,secondary,no,yes,no
Exeter,54,admin.,married,secondary,no,yes,no
Cardiff,32,technician,divorced,tertiary,no,no,yes
Stevenage,44,services,married,secondary,no,yes,no
St Helens,56,management,divorced,tertiary,no,no,no
Preston,37,technician,married,secondary,yes,no,no
Stockport,48,blue-collar,divorced,primary,no,no,no
Sutton Coldfield,58,retired,divorced,unknown,no,yes,no
Chesterfield,34,technician,married,tertiary,no,no,no
Southampton,47,management,single,tertiary,no,no,yes
Chelmsford,50,blue-collar,married,primary,no,yes,yes
Norwich,60,retired,divorced,primary,no,yes,no
Lincoln,32,technician,married,secondary,no,no,yes
Oxford,60,entrepreneur,married,primary,no,yes,no
Birmingham,48,self-employed,married,primary,no,yes,no
Gloucester,50,management,divorced,tertiary,no,no,yes
Wigan,42,management,single,secondary,no,yes,no
Sutton Coldfield,40,management,married,tertiary,no,yes,no
Dundee,50,services,married,secondary,no,no,no
London,35,blue-collar,married,primary,no,yes,no
Blackpool,25,student,single,secondary,no,no,yes
Basingstoke,32,blue-collar,single,secondary,no,yes,no
Reading,56,management,married,primary,no,no,yes
Worthing,60,housemaid,married,primary,no,no,no
Manchester,48,technician,married,secondary,no,yes,no
Northampton,51,technician,married,tertiary,no,yes,yes
Maidstone,47,self-employed,married,tertiary,no,no,no
